termo
medo
ansiosa
ansiedade
ansioso
apavorada
apavorado
assustada
assustado
ajuda
ajudem-me
ajuda por favor
alguém me ajuda
preciso de ajuda
socorro
socorram-me
pânico
sindrome do panico
ataque de panico
dor
dor insuportável
dor aguda
dor forte
dor no peito
dor na cabeça
dor abdominal
dor de barriga
dor nas costas
dor na nuca
piora
piorando
piorou
ameaça
ameaçada
ameaçado
ameaçou
triste
tristeza
tristíssima
depressão
depressiva
depressivo
deprimida
deprimido
cansaço
cansada
cansado
exausta
exausto
esgotada
esgotado
sem força
sem forças
fraca
fraco
fraqueza
não consigo
não aguento
não suporto
tremendo
tremedeira
tremia
insegura
inseguro
insegurança
desesperadora
desesperador
desespero
desesperada
desesperado
morrer
quero morrer
vou morrer
medo de morrer
morte
morto
morta
suicídio
suicida
pensamentos suicidas
ideação suicida
sangramento
sangrando
sangue
sangrar
tontura
tonta
tonto
vertigem
desmaio
desmaiou
desmaiei
perdi a consciência
falta de ar
sem ar
sufocada
sufocado
sufocamento
coração disparado
coração acelerado
batedeira no peito
taquicardia
insônia
não durmo
sem dormir
pesadelo
pesadelos
chorando
choro
chorou
chorei
crise de choro
tristeza profunda
inútil
inutilidade
sozinha
sozinho
solidão
abandonada
abandonado
abandono
machucada
machucado
ferida
ferido
ferimento
lesão
agressão
agredida
agredido
agrediu
gritos
gritando
gritou
pesada
pesado
peito apertado
aperto no peito
nó na garganta
enjoo
enjoada
enjoado
náusea
vômito
vomitando
vomitou
febre
febril
queimando de febre
pontada
colica
cólica forte
latejando
latejou
hospital
ir pro hospital
preciso de médico
emergência
pronto socorro
upa
remédio
remédios
medicamento
overdose
intoxicação
veneno
envenenada
cortes
cortada
cortado
me cortei
se cortou
roxo
roxa
hematoma
mancha roxa
inchaço
inchado
inchada
paralisada
paralisado
travada
travado
terror
pavor
nervosa
nervoso
nervosismo
irritada
irritado
irritabilidade
explodir
vontade de explodir
sumir
vontade de sumir
quero sumir
acabar com tudo
dar um fim
fim da linha
me matar
se matar
tirar minha vida
tirar a vida
desistir de tudo
desistir da vida
não aguento mais
não vejo saída
sem saída
beco sem saída
lâmina
gilete
estilete
pular
pular da janela
pular da ponte
enforcar
se enforcar
corda no pescoço
tomei tudo
tomei os remédios
caixa de remédio
cartela de remédio
apagão
apagou
convulsão
convulsionando
ataque epilético
ataque cardíaco
infarto
infartando
derrame
avc
batedeira
suando frio
suor frio
formigamento
formigando
braço formigando
dormência
rosto dormente
visão turva
vista escureceu
perdi o chão
teto caindo
sufoco
angústia
angustiada
vazio
sentimento de vazio
escuridão
tudo escuro
buraco
fundo do poço
fracasso
fracassada
fracassado
lixo
me sinto um lixo
invisível
ninguém se importa
peso nas costas
cama
ficar na cama
não quero levantar
não saio da cama
desamparo
desamparada
bateu
me bateu
soco
soco no olho
soco na cara
tapa
tapa na cara
empurrão
me empurrou
chute
chutou
chute na barriga
estupro
estuprada
violentada
violência sexual
abuso
abusada
abusado
assédio
assediada
forçou
me forçou
obrigou
me obrigou
medo dele
tenho medo dele
trancada
me trancou
trancou a porta
fugir
quero fugir
preciso fugir
polícia
chama a polícia
ligar 190
samu
chama o samu
ligar 192
bombeiro
bombeiros
ambulância
urgente
urgência
agora
pelo amor de deus
socorre
acidente
sofri um acidente
batida
batida de carro
quebrada
quebrado
osso quebrado
fratura
fraturou
roxo no olho
olho roxo
marcas
marcas no corpo
cicatriz
pescoço
apertou meu pescoço
mãos no pescoço
estrangulada
estrangulamento
arma
arma de fogo
faca
faca de cozinha
tiro
levou um tiro
facada
levou facada
revólver
pistola
gatilho
bala
bala perdida
ameaçou
me ameaçou
perseguindo
me perseguindo
stalker
medo de voltar
medo de ir pra casa
sair de casa
expulsa de casa
dormir
sono eterno
não acordar
sangue no chão
poça de sangue
vidro quebrado
caco de vidro
cinto
fivela
chinelada
surra
surrada
apanhei
apanhou
gritaria
discussão
brigas
xingamentos
humilhação
humilhada
humilhado
rebaixada
controlador
ciúmes
ciumento
possessivo
não deixa eu sair
tirou meu celular
quebrou meu celular
escondeu a chave
rasgou minha roupa
